"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.681249990E-4,1.026864624E-1,2.131567383E-1,9.651030579E0,9.653930367E0
9.292875009E-3,1.152603149E-1,2.067201233E-1,9.523944855E0,9.526885312E0
1.935387502E-2,1.110690308E-1,2.002835083E-1,9.544901276E0,9.547648411E0
2.941487500E-2,8.906478882E-2,2.098635864E-1,9.667346649E0,9.670034462E0
3.947587500E-2,4.116439819E-2,2.426454163E-1,1.004022125E1,1.004323723E1
4.953687501E-2,2.350112915E-2,2.540217590E-1,1.016416351E1,1.016736442E1
5.959787502E-2,8.322692871E-2,2.243833923E-1,9.797426147E0,9.800348654E0
6.965887500E-2,1.106199646E-1,2.128573608E-1,9.591155090E0,9.594154522E0
7.972087502E-2,1.058299255E-1,2.101629639E-1,9.611812134E0,9.614691932E0
8.978187499E-2,7.933502197E-2,2.197430420E-1,9.695188751E0,9.698003195E0
9.984287500E-2,4.909790039E-2,2.375559998E-1,9.988279266E0,9.991224457E0
1.099038750E-1,4.909790039E-2,2.448907471E-1,1.003588028E1,1.003898775E1
1.199648750E-1,8.382568359E-2,2.221380615E-1,9.719737701E0,9.722637145E0
1.300258750E-1,9.415420532E-2,2.151026917E-1,9.617051239E0,9.619917293E0
1.400868750E-1,8.337661743E-2,2.118095398E-1,9.687554626E0,9.690228562E0
1.501478750E-1,6.885681152E-2,2.351609802E-1,9.909243622E0,9.912272752E0
1.602088750E-1,5.718109131E-2,2.381547546E-1,9.964478760E0,9.967488366E0
1.702698750E-1,7.095245361E-2,2.192939758E-1,9.740245056E0,9.742971716E0
1.803308750E-1,8.532257080E-2,2.146536255E-1,9.653874664E0,9.656637725E0
1.903918750E-1,7.274871826E-2,2.260299683E-1,9.799072723E0,9.801949202E0
2.004528750E-1,6.002517700E-2,2.324665833E-1,9.921967163E0,9.924871592E0
2.105138750E-1,6.167175293E-2,2.164498901E-1,9.814640350E0,9.817220542E0
2.205748750E-1,7.948471069E-2,2.160008240E-1,9.718240814E0,9.720965934E0
2.306368750E-1,8.098159790E-2,2.240840149E-1,9.786199493E0,9.789099662E0
2.406978750E-1,6.721023560E-2,2.312690735E-1,9.873168640E0,9.876105589E0
2.507588750E-1,6.391708374E-2,2.272274780E-1,9.806108093E0,9.808948652E0
2.608198750E-1,7.708969116E-2,2.182461548E-1,9.735305328E0,9.738056482E0
2.708808750E-1,8.008346558E-2,2.246827698E-1,9.802066498E0,9.804968299E0
2.809418750E-1,7.499404907E-2,2.383044434E-1,9.841734009E0,9.844904338E0
2.910028750E-1,7.229965210E-2,2.345622253E-1,9.779762878E0,9.782842564E0
3.010638750E-1,6.840774536E-2,2.293231201E-1,9.763446808E0,9.766379180E0
3.111248750E-1,8.068222046E-2,2.252815247E-1,9.811197510E0,9.814115241E0
3.211858750E-1,7.155120850E-2,2.246827698E-1,9.821376343E0,9.824206593E0
3.312468750E-1,7.514373779E-2,2.270777893E-1,9.769134979E0,9.772062686E0
3.413078750E-1,7.514373779E-2,2.239343262E-1,9.782906342E0,9.785757490E0
3.513688750E-1,7.110214233E-2,2.281256104E-1,9.806257782E0,9.809168593E0
3.614298750E-1,7.364685059E-2,2.279759216E-1,9.799072723E0,9.802000975E0
3.714908750E-1,7.140151978E-2,2.344125366E-1,9.777068481E0,9.780138829E0
3.815528750E-1,6.840774536E-2,2.255809021E-1,9.796228638E0,9.799064337E0
3.916138750E-1,7.424560547E-2,2.294728088E-1,9.818681946E0,9.821643718E0
4.016748750E-1,7.828720093E-2,2.287243652E-1,9.798174591E0,9.801156515E0
4.117358750E-1,8.008346558E-2,2.200424194E-1,9.785001984E0,9.787803423E0
4.217968750E-1,6.990463257E-2,2.258802795E-1,9.804461517E0,9.807312282E0
4.318578750E-1,7.080276489E-2,2.243833923E-1,9.804611206E0,9.807434009E0
4.419188750E-1,8.023315430E-2,2.207908630E-1,9.775571594E0,9.778393833E0
4.519798750E-1,7.604187012E-2,2.261796570E-1,9.796977081E0,9.799882629E0
4.620408750E-1,7.604187012E-2,2.296224976E-1,9.805509338E0,9.808492353E0
4.721018750E-1,7.993377686E-2,2.290237427E-1,9.796078949E0,9.799081797E0
4.821628750E-1,7.843688965E-2,2.272274780E-1,9.795031128E0,9.797980377E0
4.922238750E-1,7.424560547E-2,2.218386841E-1,9.803862762E0,9.806653347E0
5.022848750E-1,7.140151978E-2,2.246827698E-1,9.794582062E0,9.797418961E0
5.123458750E-1,7.289840698E-2,2.275268555E-1,9.798174591E0,9.801087081E0
5.224068750E-1,7.364685059E-2,2.273771667E-1,9.800270233E0,9.803184221E0
5.324688750E-1,7.289840698E-2,2.260299683E-1,9.797575836E0,9.800453867E0
5.425298750E-1,6.945556641E-2,2.207908630E-1,9.794132996E0,9.796867551E0
5.525908750E-1,7.499404907E-2,2.234852600E-1,9.789342957E0,9.792180824E0
5.626518750E-1,7.634124756E-2,2.213896179E-1,9.790839844E0,9.793640089E0
5.727128750E-1,6.930587769E-2,2.218386841E-1,9.790091400E0,9.792849704E0
5.827727500E-1,7.948471069E-2,2.209405518E-1,9.790989532E0,9.793804601E0
5.928337500E-1,7.963439941E-2,2.203417969E-1,9.799821167E0,9.802621438E0
6.028947500E-1,7.828720093E-2,2.287243652E-1,9.793683929E0,9.796667221E0
6.129557500E-1,6.990463257E-2,2.278262329E-1,9.792336731E0,9.795236092E0
6.230167500E-1,7.783813477E-2,2.218386841E-1,9.792486420E0,9.795308135E0
6.330777500E-1,7.469467163E-2,2.261796570E-1,9.795330505E0,9.798226178E0
6.431387500E-1,7.304809570E-2,2.327659607E-1,9.791588287E0,9.794626956E0
6.531997500E-1,7.559280396E-2,2.209405518E-1,9.798473969E0,9.801256099E0
6.632607500E-1,6.945556641E-2,2.213896179E-1,9.801168365E0,9.803914461E0
6.733217500E-1,7.080276489E-2,2.272274780E-1,9.796677704E0,9.799568327E0
6.833837500E-1,8.173004150E-2,2.212399292E-1,9.792037354E0,9.794877357E0
6.934447500E-1,7.948471069E-2,2.252815247E-1,9.798773346E0,9.801684991E0
7.035057500E-1,7.050338745E-2,2.224374390E-1,9.797725525E0,9.800503793E0
7.135667500E-1,7.274871826E-2,2.285746765E-1,9.789043579E0,9.791982075E0
7.236277500E-1,7.409591675E-2,2.306703186E-1,9.796078949E0,9.799074537E0
7.336887500E-1,7.589218140E-2,2.242337036E-1,9.799821167E0,9.802680005E0
7.437497500E-1,7.304809570E-2,2.293231201E-1,9.793683929E0,9.796640752E0
7.538107500E-1,7.694000244E-2,2.224374390E-1,9.804461517E0,9.807286262E0
7.638717500E-1,8.472381592E-2,2.273771667E-1,9.799821167E0,9.802824767E0
7.739327500E-1,8.068222046E-2,2.275268555E-1,9.806557159E0,9.809528093E0
7.839937500E-1,7.244934082E-2,2.305206299E-1,9.796078949E0,9.799058702E0
7.940547500E-1,6.960525513E-2,2.330653381E-1,9.791438599E0,9.794459361E0
8.041157500E-1,7.289840698E-2,2.179467773E-1,9.793983307E0,9.796679233E0
8.141767500E-1,7.334747314E-2,2.189945984E-1,9.803413696E0,9.806133723E0
8.242387500E-1,7.679031372E-2,2.248324585E-1,9.797875214E0,9.800755333E0
8.342997500E-1,7.334747314E-2,2.288740540E-1,9.791737976E0,9.794687120E0
8.443607500E-1,7.738906860E-2,2.302212524E-1,9.789342957E0,9.792355509E0
8.544217500E-1,6.975494385E-2,2.164498901E-1,9.795480194E0,9.798119643E0
8.644827500E-1,7.005432129E-2,2.206411743E-1,9.782008209E0,9.784747045E0
8.745437500E-1,7.095245361E-2,2.242337036E-1,9.791588287E0,9.794412499E0
8.846047500E-1,7.125183105E-2,2.293231201E-1,9.795779572E0,9.798722536E0
8.946657500E-1,7.664062500E-2,2.236349487E-1,9.793833618E0,9.796686344E0
9.047267500E-1,6.825805664E-2,2.204914856E-1,9.791139221E0,9.793859449E0
9.147877500E-1,6.765930176E-2,2.233355713E-1,9.804760895E0,9.807537548E0
9.248487500E-1,7.020401001E-2,2.248324585E-1,9.792486420E0,9.795318704E0
9.349097500E-1,7.214996338E-2,2.249821472E-1,9.793384552E0,9.796234152E0
9.449707500E-1,7.020401001E-2,2.227368164E-1,9.793534241E0,9.796318350E0
9.550317500E-1,7.140151978E-2,2.272274780E-1,9.800120544E0,9.803014495E0
9.650927500E-1,7.214996338E-2,2.264790344E-1,9.805659027E0,9.808539510E0
9.751547500E-1,7.499404907E-2,2.260299683E-1,9.794582062E0,9.797476788E0
9.852157500E-1,7.334747314E-2,2.218386841E-1,9.792037354E0,9.794824541E0
9.952767500E-1,7.125183105E-2,2.222877502E-1,9.800120544E0,9.802900150E0
1.005337750E0,7.574249268E-2,2.233355713E-1,9.794731750E0,9.797570401E0
1.015398750E0,7.858657837E-2,2.195933533E-1,9.795031128E0,9.797807504E0
1.025459750E0,7.125183105E-2,2.273771667E-1,9.799222412E0,9.802119010E0
1.035520750E0,7.229965210E-2,2.269281006E-1,9.794731750E0,9.797626941E0
1.045581750E0,7.439529419E-2,2.281256104E-1,9.793683929E0,9.796622932E0
1.055642750E0,7.185058594E-2,2.357597351E-1,9.797875214E0,9.800974638E0
1.065703750E0,7.888595581E-2,2.234852600E-1,9.797875214E0,9.800741164E0
1.075764750E0,7.559280396E-2,2.276765442E-1,9.798174591E0,9.801110968E0
1.085825750E0,7.589218140E-2,2.242337036E-1,9.799222412E0,9.802081425E0
1.095886750E0,7.948471069E-2,2.275268555E-1,9.806407471E0,9.809368673E0
1.105947750E0,7.559280396E-2,2.236349487E-1,9.793683929E0,9.796528557E0
1.116008750E0,7.214996338E-2,2.246827698E-1,9.792037354E0,9.794880474E0
1.126070750E0,6.676116943E-2,2.257305908E-1,9.796228638E0,9.799056428E0
1.136131750E0,7.559280396E-2,2.254312134E-1,9.801168365E0,9.804051960E0
1.146192750E0,7.454498291E-2,2.239343262E-1,9.799521790E0,9.802363533E0
1.156253750E0,7.125183105E-2,2.254312134E-1,9.793833618E0,9.796686838E0
1.166314750E0,8.202941895E-2,2.261796570E-1,9.793534241E0,9.796489115E0
1.176375750E0,7.858657837E-2,2.222877502E-1,9.794282684E0,9.797120036E0
1.186436750E0,7.364685059E-2,2.216889954E-1,9.799072723E0,9.801856768E0
1.196497750E0,7.634124756E-2,2.260299683E-1,9.795480194E0,9.798385059E0
