"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.006625018E-3,2.050735474E-1,7.813751221E-2,9.699978790E0,9.702460985E0
1.306762500E-2,1.977388000E-1,8.547225952E-2,9.762398987E0,9.764775477E0
2.312862501E-2,2.044747925E-1,9.175918579E-2,9.816735992E0,9.819294029E0
3.318962501E-2,1.878593445E-1,8.292755127E-2,9.727371826E0,9.729539082E0
4.325062499E-2,1.683998108E-1,8.562194824E-2,9.699529724E0,9.701369310E0
5.331062499E-2,1.802252197E-1,9.505233765E-2,9.826615448E0,9.828727651E0
6.337162500E-2,1.739382935E-1,9.879455566E-2,9.814191284E0,9.816229697E0
7.343262501E-2,1.784289551E-1,8.921447754E-2,9.730814667E0,9.732859302E0
8.349362502E-2,1.977388000E-1,8.292755127E-2,9.754914551E0,9.757270905E0
9.355462500E-2,2.130070496E-1,8.951385498E-2,9.880802765E0,9.883503833E0
1.036146250E-1,2.225871277E-1,1.119671631E-1,9.856702881E0,9.859851589E0
1.136756250E-1,2.185455322E-1,1.067280579E-1,9.758058014E0,9.761088527E0
1.237366250E-1,2.230361938E-1,9.969268799E-2,9.870773621E0,9.873796415E0
1.337976250E-1,2.321672058E-1,1.088237000E-1,9.893077240E0,9.896399420E0
1.438586250E-1,2.210902405E-1,1.086740112E-1,9.795031128E0,9.798128685E0
1.539186250E-1,2.158511353E-1,1.002914429E-1,9.807006226E0,9.809894046E0
1.639796250E-1,2.133064270E-1,1.020877075E-1,9.879156189E0,9.881986062E0
1.740406250E-1,2.182461548E-1,1.133143616E-1,9.879455566E0,9.882515561E0
1.841016250E-1,2.118095398E-1,1.130149841E-1,9.793085175E0,9.796027404E0
1.941626250E-1,2.059716797E-1,1.151106262E-1,9.803114319E0,9.805953556E0
2.042226250E-1,2.070195007E-1,1.230441284E-1,9.858648834E0,9.861589819E0
2.142836250E-1,2.088157654E-1,1.215472412E-1,9.798623657E0,9.801602080E0
2.243446250E-1,1.962419128E-1,9.879455566E-2,9.679471436E0,9.681964600E0
2.344056250E-1,1.878593445E-1,1.028361511E-1,9.729317780E0,9.731674618E0
2.444666250E-1,2.097138977E-1,1.005908203E-1,9.821376343E0,9.824130073E0
2.545266250E-1,2.119592285E-1,9.894424438E-2,9.750573578E0,9.753378993E0
2.645876250E-1,2.089654541E-1,7.694000244E-2,9.690249023E0,9.692807254E0
